"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
777150,500124,EVERGREEN HEALTHCARE,12040 NE 128TH STREET,KIRKLAND,WA,98034-,KING,42644,U,STH,1,11,01/01/2023,12/31/2023,3468.91,,,21885,2278,87607,339,123735,,3402,535,16044,368,,20529,2134,70309,263,95995,,3402,535,16044,7017940,35003468,18621695,45757666,508443495,527740504,18315023,730080570,934199649,1268137678,2202337327,85833940,,507272735,37792187,,,90677477,,,401999456,-266915813,8404100,11779277,1558505,277909988,4913660,12938484,654524904,,142987846,349524625,,,562408515,,180091814,180091814,1020410317,81483375,61639572,,19881044,35135401,13958216,212097608,,,,515722548,515722548,727820156,292590159,292590159,1020410315,,31127036,10442557,,610034,0.0587,,,877961447,1578331347,2456292794,1597372428,858920366,1036183999,-177263633,119040626,-58223007,-7623602,-50599405,0.331503,25950317,206450049,,
777151,501339,WHIDBEY GENERAL HOSPITAL,101 NORTH MAIN STREET,COUPEVILLE,WA,98239,ISLAND,99950,R,CAH,1,11,01/01/2023,12/31/2023,455.92,,,1865,66,4741,25,9125,,358,17,1264,25,,1517,49,3577,19,6935,,358,17,1264,693113,2133041,1580064,1843335,53699521,84648645,7040105,116422768,33068557,236036645,269105202,,,,,,,7914346,,,55489439,-38842561,2247824,2475954,,31418772,,,148887287,,,,,,69564836,,15394882,15394882,116378490,6517032,5655092,2007829,21499607,,29965,35709525,,62074714,,2379027,64453741,100163266,16215224,16215224,116378490,,,,,,,,,35056518,252858173,287914691,175288065,112626626,138348166,-25721540,21723409,-3998131,,-3998131,0.432629,966857,2843378,,
777154,520194,ORTHOPAEDIC HOSPITAL OF WISCONSIN,575 WEST RIVER WOODS PARKWAY,GLENDALE,WI,53212,MILWAUKEE,33340,U,STH,1,2,01/01/2023,12/31/2023,253.82,,,565,19,1552,30,10950,,347,10,969,30,,565,19,1552,30,10950,,347,10,969,21555,893550,203657,1536696,19680609,37489624,2435073,46840905,67635050,178342001,245977051,5159187,,19680609,,,,21911963,,,49517435,-30702217,997905,2026139,,43751225,2936905,563953,25388062,1020493,10519141,16541986,,,30039360,,3513478,3513478,77304063,3992052,1153939,,,,1046055,8365505,,,,4625650,4625650,12991155,64312908,64312908,77304063,,3283110,1330575,,,,,,67635050,178342000,245977050,159028679,86948371,57170233,29778138,910178,30688316,,30688316,0.190428,1597543,15389451,,
777157,673083,EVEREST REHAB HOSPITAL EL PASO,2230 JOE BATTLE BLVD,EL PASO,TX,79938,EL PASO,21340,U,RH,5,5,06/23/2023,12/31/2023,31.9,,,645,,746,36,5508,,58,,60,36,,645,,746,36,5508,,58,,60,,,,,1266422,2111079,53569,3439086,2380616,,2380616,155714,,1266422,,,,15641,,,631013,-23727,54037,190688,,977552,,,,,,1549648,,,1492473,,13013705,13018610,15488635,1052872,179480,10068,,,88430,1330850,,,,16193733,16193733,17524583,-2035948,-2035948,15488635,,,,,,,,,2380616,,2380616,1039289,1341327,3377501,-2036174,229,-2035945,,-2035945,1.44462,,,,
777159,020006,MAT-SU REGIONAL MED CTR,2500 S. WOODWORTH LOOP,PALMER,AK,99645-,MATANUSKA-SUSITNA MUNICIPALITY,11260,R,STH,1,4,01/01/2023,12/31/2023,697.76,,,11701,9166,28185,125,45625,,2148,2025,6245,125,,9748,7840,23282,111,40515,,2148,2025,6245,4291233,9079104,5659711,5666319,77030171,167614931,6293496,187320418,680399136,734069719,1414468855,28754135,,77030171,508471,,,-3255,,,81693547,-11634585,7379836,1430514,180985,79047042,7473538,1571691,82614162,18356044,2021270,36472629,2511899,,91815657,,15510255,15510255,186372954,8605083,12071980,785486,1365165,,665637,-773588539,,12389355,,149030088,161419443,-612169096,798542050,798542050,186372954,,21620585,7227730,,865450,0.12,1189188,,687537978,736779432,1424317410,1089159399,335158011,244645102,90512909,1571553,92084462,,92084462,0.132432,47733023,315602622,,49899
777161,030038,HONORHEALTH SCOTTSDALE OSBORN MED CT,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,38060,R,STH,1,2,01/01/2023,12/31/2023,1424.61,22.04,,18694,11100,59309,337,121869,,4474,2264,13068,351,,16484,10391,50021,278,100334,,4474,2264,13068,26928140,38153871,32470585,64791086,130685151,310162695,20797060,412764162,1627718503,1294687466,2922405969,26918301,,132430357,1470364,267629,417116,3480,,,69478620,,16650634,453717,6726330,93312781,27939908,12398003,200288744,1873774,,138763093,,,104002420,,1354336,1354336,198669537,8955137,,,,,,-725793013,,,,3186085,3186085,-722606928,921276465,921276465,198669537,,40336669,13679325,,964186,0.0714,40619013,2182030,1627718501,1332284952,2960003453,2516304293,443699160,440847846,2851314,8980990,11832304,,11832304,0.141241,30607280,445534803,,
777162,030071,FORT DEFIANCE INDIAN HOSPITAL,CORNER OF N12 AND N7,FORT DEFIANCE,AZ,86504,APACHE,99903,R,STH,1,7,10/01/2022,09/30/2023,1304,,,1753,3125,6919,56,20440,,512,1042,2291,56,,1753,3125,6919,56,20440,,512,1042,2291,,,,,84725779,136245700,6562884,133811038,131275,1960452,2091727,1,,84725779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4269511,,128085,0.12,,,,,,,,220971479,-220971479,,-220971479,,-220971479,,,,,
777168,050394,CMH OF SAN BUENAVENTURA,147 N. BRENT STREET,VENTURA,CA,93003,VENTURA,37100,U,STH,1,2,01/01/2023,12/31/2023,1749,77,3733,13232,,58198,181,66065,421,3130,,15858,181,2810,11561,,43810,147,53655,421,3130,,15858,429793,1973443,1094015,1094015,226520555,340531313,19066743,497225918,810379935,1010918692,1821298627,46388102,681919,226520555,9769529,,1527606,30973907,73272013,,163444252,-96079796,9076978,14124767,,286046507,22847524,18162851,332711256,29852016,105737673,202206560,,,467695131,,187517681,187517681,941259319,75556914,32183316,8321693,,,14273326,130335249,,,,379808417,379808417,510143666,431115653,431115653,941259319,,35136723,13663652,,1607972,0.1318,47296558,9767688,810052241,1011246383,1821298624,1269209216,552089408,567051868,-14962460,29809414,14846954,199974,14646980,0.273006,206250807,317744976,,
777180,100107,LEHIGH REGIONAL,1500 LEE BOULEVARD,LEHIGH ACRES,FL,33936,,15980,U,STH,1,4,01/01/2023,12/31/2023,200.12,,,1463,455,9949,53,19345,,411,64,3015,88,,1289,379,8704,45,16425,,411,64,3015,191253,48072594,4926117,6869943,14430079,26388225,1604472,32037321,132367732,199406495,331774227,3503620,,14430079,839768,,,684719,,,121099444,-114322311,617840,718887,4252,10832350,3033233,,14008920,652119,,12052661,,,18477821,,3468099,3468099,32778270,1311574,1015462,9747,,,-16571078,-14732664,,,,7657533,7657533,-7075131,39853401,39853401,32778270,,3065608,548675,,108428,0.12,8504522,,132367731,199406495,331774226,285988026,45786200,40812304,4973896,1128327,6102223,,6102223,0.096564,4608589,74098250,,
777185,131327,GRITMAN MEDICAL CENTER,700 S MAIN ST,MOSCOW,ID,83843-,LATAH,99913,R,CAH,1,2,01/01/2023,12/31/2023,483.15,,,1226,314,3680,25,9125,,349,110,947,25,,1145,314,2990,22,8030,,349,110,947,3644717,2578449,4980074,8548481,47437231,60473395,2896093,91824041,19221858,153840006,173061864,,,,,,,218179,,,19694615,,2959002,1587397,,29239274,7167342,1173240,69360400,,,47312552,,,57482480,26432809,19187466,45620275,132342029,10658985,7074329,,,,,19065388,,58795307,,,58795307,77860695,54481334,54481334,132342029,,,,,,,,,23383063,170086494,193469557,88801318,104668239,107910626,-3242387,9200482,5958095,2840775,3117320,0.530585,5901216,17847514,,
777189,140082,LOUIS A. WEISS MEMORIAL HOSPITAL,4646 NORTH MARINE DRIVE,CHICAGO,IL,60640,COOK,16984,R,STH,1,4,06/01/2023,12/31/2023,423.97,70.52,,3237,634,10788,119,25894,,610,301,3804,144,,2945,526,8810,103,22042,,610,301,3804,176951,986901,431461,23513101,27683413,35019722,1602358,59188175,151674598,128080191,279754789,3521934,,27683413,6743551,,467555,725000,,,14521349,,2829953,3992589,,46153097,,174294,9676961,,,14166011,,,12216964,,-19052604,-19052604,39317457,25215335,16730989,,,,22942,41969266,,,,21945779,21945779,63915045,-24597588,-24597588,39317457,,3870391,2863043,,433970,0.2578,4510066,1923210,151674598,128080191,279754789,232352627,47402162,62703135,-15300973,4075585,-11225388,,-11225388,0.211572,2155678,125909777,,
777194,140252,NORTHWEST COMMUNITY HOSPITAL,800 WEST CENTRAL ROAD,ARLINGTON HEIGHTS,IL,60005,COOK,16984,U,STH,1,2,01/01/2023,12/31/2023,2521.62,,,36497,3342,87169,424,154760,,8304,600,20022,509,,33236,2504,71850,356,129940,,8304,600,20022,7202400,20491041,12239295,35315755,237554762,338302935,36208771,499024289,908580029,1214903319,2123483348,45990303,,237554762,,,,8241823,,,62200943,,9125092,2804561,,86294922,,15213025,246987288,,,232140324,,,384621562,,389756014,389756014,860672498,11554503,48610922,,243719,,-12633944,47775200,,66064113,,593028260,659092373,706867573,153804925,153804925,860672498,,,94161333,,614403,0.0261,,,910290686,1228214460,2138505146,1531190877,607314269,575867355,31446914,12392684,43839598,89,43839509,0.235003,28138841,217934671,,
777200,170146,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PARKWAY,KANSAS CITY,KS,66112,WYANDOTTE,28140,U,STH,1,4,01/01/2023,12/31/2023,428.56,,,5322,754,21082,176,64240,,1307,41,5241,221,,4697,721,18132,153,55845,,1307,41,5241,103734,28488013,5640507,5640507,38828394,77784153,4948209,103655779,275801368,267911214,543712582,10543377,,38828394,2572717,,,1377522,,,122335905,-111831073,2919188,1660963,80943,17836437,3846321,,51390744,324413,,54013229,,,38285469,,6793662,6793662,62915568,4153057,3484646,11677,,,-12562681,-7699693,,,,73129588,73129588,65429895,-2514327,-2514327,62915568,,10164979,3383980,,202896,0.0599,15526780,,275801368,267911212,543712580,438604827,105107753,116612547,-11504794,589827,-10914967,,-10914967,0.190644,11294197,74708377,,
777201,170185,ST. LUKES SOUTH,12300 METCALF AVE.,OVERLAND PARK,KS,66213,JOHNSON,28140,U,STH,1,2,01/01/2023,12/31/2023,744.21,,,10253,274,21860,120,43800,,2187,6,4937,180,,9169,254,19389,112,40880,,2187,6,4937,4465938,11955388,6367892,6367892,69897428,170052653,16162091,167641170,449166393,630863750,1080030143,15794373,,69897428,4452824,,,-32273033,,,40503428,-10228500,3544372,1117416,,6456949,9623840,5797213,121697135,12096017,11170474,60251675,,,113790444,,83175124,83175124,203422517,8600363,6007730,,781874,,12239355,27629322,,81414885,,85784914,167199799,194829121,8593396,8593396,203422517,,14295150,4391665,,,,,,456000586,650955000,1106955586,890852514,216103072,234761210,-18658138,15602139,-3055999,5148133,-8204132,0.155219,,,,
777202,170196,KANSAS SPINE & SPECIALTY HOSPITAL,3333 N WEBB ROAD,WICHITA,KS,67226-,SEGWICK,48620,U,STH,1,4,01/01/2023,12/31/2023,170.37,,,1517,,3644,35,12775,,705,,1539,35,,1517,,3644,35,12775,,705,,1539,5546,276459,84683,823897,13069563,45841949,194331,55240997,102300384,137277833,239578217,3092489,,13069563,208705,,,9217996,,,33390044,-23138690,-34215,259529,316341,21197771,,,38274912,512074,,3970440,,,40274451,,121917189,121917189,183389411,1758166,1995322,,1448546,,1289090,6491124,,,,44407208,44407208,50898332,132491079,132491079,183389411,,10607311,2904657,,,,,,102303386,137274832,239578218,167801508,71776710,58911512,12865198,75320,12940518,,12940518,0.230576,187198,4017817,,
777203,171342,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST,LACROSSE,KS,67548-,RUSH,99917,R,CAH,1,9,01/01/2023,12/31/2023,83.91,,,515,,6420,25,9125,,42,1,54,25,,127,,166,25,9125,,42,1,54,698,18406,7140,388811,3767848,5634833,329200,8747843,2187190,5327712,7514902,,,,,,,-16271,,,3133110,-1616000,121813,80975,,1703627,9597,38648,5999538,,859009,2672014,,,2494108,,,,4197735,1000187,211711,231,250000,101289,8175,1575982,,1312337,,,1312337,2888319,1309416,1309416,4197735,,,,,,,,,2224880,5411832,7636712,407993,7228719,9402681,-2173962,2780346,606384,,606384,1.164066,115486,427087,,
777206,191320,BIENVILLE MEDICAL CENTER,1175 PINE STREET  SUITE 200,ARCADIA,LA,71001,BIENVILLE PARISH,99919,R,CAH,1,4,01/01/2023,12/31/2023,71,,,2017,14,2542,21,7665,,9,3,19,21,,22,14,88,21,7665,,9,3,19,,65506,27031,27031,4971190,7243276,36101,11026163,11606711,7355330,18962041,,,4971190,,,,353160,,,1882410,,95,40326,,2275991,,,,27022,,87845,,,82873,,,,2358864,3507638,-44418,1556687,,,,5019907,,,,,,5019907,-2661043,-2661043,2358864,,,,,,,,,11742727,7356522,19099249,7449635,11649614,12214466,-564852,576791,11939,,11939,0.581486,,,,
777219,250038,MADISON RIVER OAKS MEDICAL CENTER,161 RIVER OAKS DR.,CANTON,MS,39046,MADISON,27140,U,STH,1,4,01/01/2023,12/31/2023,165.2,,,1456,524,4780,67,24455,,317,136,1106,67,,1119,258,3396,60,21900,,317,136,1106,2202692,5724215,2708440,2809570,12751761,25304662,2422261,33184555,94041243,292617166,386658409,2385287,,12751761,57978,,,-20105,,,19529533,-9326231,1230997,279386,54103,11747683,2700000,711728,3834287,1782947,410508,5723114,4536523,,11780794,,2239215,2239215,25767692,562818,988382,99292,751358,,553908,50115483,,2162719,,6586165,8748884,58864367,-33096675,-33096675,25767692,,1994423,626008,,75731,0.1156,1305509,,94145251,292617166,386762417,348148205,38614212,38056423,557789,384113,941902,,941902,0.085824,4475961,84270643,,
777221,250136,MERIT HEALTH WOMANS HOSPITAL,1026 NORTH FLOWOOD DRIVE,FLOWOOD,MS,39232,RANKIN,27140,U,STH,1,4,01/01/2023,12/31/2023,143.69,,,19,1252,5404,34,12410,,12,159,1157,34,,19,466,2194,18,6570,,12,159,1157,303423,1114723,421913,421913,11196589,19494791,2336460,29166615,82834211,195373754,278207965,2326149,,11196589,6895,,,-7879,,,10933165,-1453731,545566,487617,-47149,10457589,2070000,331809,13755247,3327917,223889,8450210,2223800,,18495138,,4267362,4267362,33220089,488214,838544,89012,402384,,304638,11958484,,207767,,,207767,12166251,21053838,21053838,33220089,,94715,15245,,3299,0.12,43115,,82834211,195373755,278207966,245131242,33076724,30691380,2385344,559121,2944465,,2944465,0.104837,2469849,43622294,,
777223,260017,PHELPS COUNTY REGIONAL MEDICAL CNTR,1000 WEST 10TH STREET,ROLLA,MO,65401,PHELPS,99926,R,STH,1,2,01/01/2023,12/31/2023,938.8,,,7144,3153,24660,194,71048,,1707,655,5980,240,,6301,2731,20776,176,64478,,1707,655,5980,2093093,30065960,8006429,14499829,72223999,108531567,20827264,239508436,354312222,902635653,1256947875,18024247,1016476,72223999,13024267,,,10107349,,,36524385,,6465065,3640629,1606728,65317433,9845054,8115513,210137127,,27233896,136911011,,,148939425,155989977,333774107,489764084,704020942,8667764,17186045,,7421838,,12625320,45900967,,48527624,,,48527624,94428591,609592351,609592351,704020942,,11609531,3713852,,719050,0.1877,,,369429977,956381916,1325811893,1040395798,285416095,180755566,104660529,30781876,135442405,101365347,34077058,0.190548,38742701,237400031,,
777224,260024,TEXAS COUNTY MEMORIAL HOSPITAL,1333 S. SAM HOUSTON BOULEVARD,HOUSTON,MO,65483,TEXAS,99926,R,STH,1,2,01/01/2023,12/31/2023,264.5,,,1638,210,3505,47,17155,,283,57,852,47,,831,169,2105,43,15695,,283,57,852,,2958031,1239259,2664177,21403067,20952243,2778872,34144645,14563586,66377758,80941344,2490031,394866,21372008,42375,,,3084908,,,10899758,-7375611,559972,197356,627710,7994093,299998,227163,41645839,,,3889372,,,26621166,,8697112,8697114,43312373,3646923,80358,,,,,3727281,,14159220,,546451,14705671,18432952,24879421,24879421,43312373,,1321902,492602,,54435,0.12,,,15750096,78050341,93800437,55685140,38115297,42355310,-4240013,5042754,802741,3354,799387,0.421844,6083138,17798181,,
777227,260068,BOONE HOSPITAL CENTER,1600 E BROADWAY,COLUMBIA,MO,65201,BOONE,17860,U,STH,1,2,01/01/2023,12/31/2023,1743.39,,,19967,2221,56544,266,97090,,4442,468,12649,281,,16795,1442,43864,213,77745,,4442,468,12649,3122380,18491403,7754339,7754339,139520231,302159588,17768120,307830638,609690694,630227524,1239918218,26083159,,139638033,13597434,,,8208908,,,74026995,-22312326,10430272,4496190,4518045,79369717,,800428,41010127,,2072436,75879687,,,62752511,,,105225872,247348100,49934461,6410424,4293194,,,50759672,111397751,,,,72504766,72504766,183902517,63445583,63445583,247348100,,40021633,14102312,,,,,,750823123,630594943,1381418066,990116561,391301505,441679819,-50378314,10168771,-40209543,,-40209543,0.248267,25688616,90700573,,
777229,260097,WESTERN MISSOURI MEDICAL CENTER,403 BURKARTH ROAD,WARRENSBURG,MO,64093-,JOHNSON,99926,R,STH,1,9,01/01/2023,12/31/2023,500.51,,,2157,636,8348,45,16425,,481,149,2025,45,,2157,544,7168,45,16425,,481,149,2025,229776,6846279,2482864,7841714,54895559,75057417,5304086,104157030,50741596,266632448,317374044,7745202,1028669,54895559,3515362,,,9399772,5569660,,20868214,-8580000,2601320,1463139,124809,34269879,277730,2169729,89081549,,,56784902,,,48066839,15883296,7059588,22942884,105279602,5386120,5147833,,4904920,,97885,16986758,38023362,,,,38023362,55010120,50269482,50269482,105279602,,3313820,788191,,115883,0.113,,,52732579,301446719,354179298,244015192,110164106,129952976,-19788870,20916920,1128050,-1,1128051,0.328184,9506941,46167204,,
777230,260119,POPLAR BLUFF REGIONAL MEDICAL CENTER,3100 OAK GROVE ROAD,POPLAR BLUFF,MO,63901,BUTLER,99926,R,STH,1,4,01/01/2023,12/31/2023,835.7,14.99,,12234,7236,47583,232,84680,,2465,3696,10513,250,,11161,5813,42317,203,74095,,2465,3696,10513,3437649,17051226,5135800,5135800,66922097,145809253,8704030,190224733,1024872718,1038091030,2062963748,14516801,716706,66922097,4338784,,271286,-354794,,,77861986,-29744984,9155891,3343903,497987,60759989,8347363,1859349,148088816,11364957,6109094,46650926,11391116,,151370078,,6442455,6442455,218572522,10267244,4457227,634408,345554,,62571,-165130238,,13861637,,331185,14192822,-150937416,369509938,369509938,218572522,,16650611,5864441,,1717899,0.3052,18713730,741218,1025243111,1054472738,2079715849,1823007899,256707950,212731350,43976600,877946,44854546,,44854546,0.092209,53517915,570300323,,
777235,260193,ST MARYS MEDICAL CENTER,201 WEST RD MIZE ROAD,BLUE SPRINGS,MO,64014,JACKSON,28140,U,STH,1,4,01/01/2023,12/31/2023,284.48,2.7,,2824,556,11416,73,26645,,757,122,3171,83,,2510,414,10001,65,23725,,757,122,3171,,439163,153707,5118693,27062744,51894719,3974641,64852792,217713514,218460765,436174279,6745524,,27062744,2459274,,,482687,,,94612694,-85872326,1421328,710203,492589,12731548,10722135,,23477182,1565842,,25088599,,,23934612,3965938,9653148,13619086,50285246,4260606,1653276,264950,,,-16107274,-8406477,,,,37096296,37096296,28689819,21595427,21595427,50285246,,5333314,1634742,,,,10542861,157381,217713514,218460765,436174279,365630974,70543305,78909199,-8365894,918616,-7447278,,-7447278,0.148686,7730300,59391400,,
777238,270023,COMMUNITY MEDICAL CENTER,2827 FORT MISSOULA ROAD,MISSOULA,MT,59801,MISSOULA,33540,U,STH,1,4,01/01/2023,12/31/2023,691.16,3.71,,3936,8186,22887,141,51465,,875,1250,4390,151,,3640,3455,13276,109,39785,,875,1250,4390,1624353,4613730,2914687,2914687,66286565,145322325,6634418,172775223,218814884,404294284,623109168,9936386,,66286565,4903853,,,574644,,,41754429,,6083459,1080789,,75207426,1580000,1704044,78703498,1969241,3585719,21446960,12641351,,69875928,,76643752,76643752,221727106,13022091,4336440,1790439,,,10263228,29412198,-121604804,5850434,,,-115754370,-86342172,308069278,308069278,221727106,,7546681,2703492,,639868,0.2497,4254376,190848,218944459,443076524,662020983,414621455,247399528,220781944,26617584,7890573,34508157,,34508157,0.277279,23553740,123899509,,
777239,271330,STILLWATER BILLINGS CLINIC,710 N. 11TH STREET,COLUMBUS,MT,59019,STILLWATER,13740,R,CAH,1,9,07/01/2023,12/31/2023,42.4,,,395,16,594,16,2944,,27,3,67,16,,82,16,140,16,2944,,27,3,67,175065,155786,278380,278380,2981387,3737438,403704,6283079,1927146,7190772,9117918,,,,,,,5901945,3124873,,2373075,-1855799,73457,191239,,10246678,597537,1114122,13488516,,643244,4599335,,,9934535,,,,20181213,180513,193132,,,,736172,1964850,9281318,,,,9281318,11246168,8935045,8935045,20181213,,,,,,,,,1933944,7957479,9891423,3325516,6565907,6718825,-152918,595314,442396,,442396,0.689091,282994,446941,14591,17534
777240,280139,GRAND ISLAND REGIONAL MEDICAL CENTER,3533 PRAIRIEVIEW ST,GRAND ISLAND,NE,68803,HALL,24260,R,STH,1,2,01/01/2023,12/31/2023,286.49,,,3171,1071,7980,60,21900,,701,93,1298,60,,2468,305,4649,40,14600,,701,93,1298,893997,3453779,2348435,7225407,26389755,59548049,7258855,78268521,67010478,118539640,185550118,5929161,,26389755,4181237,,,8791244,,,9160394,,2205613,364831,909175,25521655,1237208,7917780,62658086,,,45215376,,,87883896,,11696862,11696862,125102413,18204237,,,,,14914533,34273199,,696304,,104527062,105223366,139496565,-14394152,-14394152,125102413,,4855984,1984344,,72166,0.0422,,,67836337,121162842,188999179,126046117,62953062,85937804,-22984742,7932775,-15051967,1,-15051968,0.421819,5578514,24786664,,
777241,283301,CHILDRENS HOSPITAL & MEDICAL CENTER,8200 DODGE STREET,OMAHA,NE,68114-4113,DOUGLAS,36540,U,CH,7,2,01/01/2023,12/31/2023,2604.9,82.81,,29,21789,41330,219,79935,,9,2256,4777,219,,29,11637,17486,89,32485,,9,2256,4777,,,,,231546042,358438780,40927413,484931626,581000880,578878919,1159879799,,,,,,,97101522,,,247694668,-138228710,10168746,13428735,11288869,285818695,31668851,2492313,710447536,11682191,,184077335,,,644678654,7160584,,7160584,937657933,34144857,42010882,6250616,8529399,,6029546,96965300,,257143314,,8150443,265293757,362259057,575398876,575398876,937657933,,,,,,,,,581000881,578878918,1159879799,597643392,562236407,589984822,-27748415,22066774,-5681641,,-5681641,,,,,
777243,320074,LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,87114,BERNALILLO,10740,U,STH,1,4,02/01/2023,01/31/2024,228.68,,,1786,92,6998,92,33580,,433,27,1751,92,,1636,78,6319,84,30660,,433,27,1751,578844,3548451,935228,935228,20144382,47072240,2226578,51689797,151633539,394410537,546044076,3579538,,20144382,1016004,,,800,,,13965424,-5370002,1414012,440815,,11138302,,,,3171073,,15969839,,,9601167,,,,20739469,3963247,1559817,136760,,,925535,6585359,,,,-56300413,-56300413,-49715054,70454523,70454523,20739469,,2732662,1469566,,126067,0.12,5268903,,151633536,394410536,546044072,477510618,68533454,67216622,1316832,1226564,2543396,,2543396,0.094662,13717355,150035389,,
777244,330233,BROOKDALE HOSPITAL MEDICAL CENTER,ONE BROOKDALE PLAZA,BROOKLYN,NY,11212,KINGS,35614,U,STH,1,2,01/01/2023,12/31/2023,5026.36,468.17,,17269,15553,126659,450,171714,,2240,1638,19115,1066,,14251,14303,106117,368,141784,,2240,1638,19115,28113102,13360392,35805167,108129845,561070076,727842245,34031531,969435419,1130486745,544364326,1674851071,165528970,,561070076,55576488,1081762,5846874,45729619,,,158733474,,12306109,,424035340,640804542,2114113,3610673,316788059,53498494,161218654,460512785,,,209485443,,278188421,278188421,1128478406,169104270,80554872,,,,361946789,1222527455,,,,545392556,545392556,1767920011,-639441605,-639441605,1128478406,,25814532,7660634,,3473049,0.415,64843297,13815034,1129539192,545311877,1674851069,968183794,706667275,1288912321,-582245046,487310473,-94934573,,-94934573,0.578819,341360041,714704803,,
777245,333030,BURKE REHABILITATION HOSPITAL,785 MAMARONECK AVENUE,WHITE PLAINS,NY,10605,WESTCHESTER,35614,U,RH,5,2,01/01/2023,12/31/2023,799.2,22.35,,21779,2092,43246,150,54750,,1552,47,2899,150,,21779,2092,43246,150,54750,,1552,47,2899,,,,,71791607,56804003,6744394,107464316,156452275,50922498,207374773,,,68345545,,,,7520085,,,28254715,-5306980,473537,550839,204829,36390335,,10733042,95822867,,23960328,49067355,,,50057677,35263662,30810254,66073916,152521928,5188402,4785213,,,,7409795,17383410,,,,52940619,52940619,70324029,78585795,82197899,152521928,,,,,,,,,156452274,50922498,207374772,94671772,112703000,128595610,-15892610,14108159,-1784451,-1191087,-593364,,,,,
